x,y
1.8,4.1
1.7,4.113
1.6,4.127
1.5,4.14
1.4,4.153
1.3,4.167
1.2,4.18
1.1,4.193
1,4.206
0.9,4.22
0.8,4.23
0.7,4.25
0.6,4.26
0.5,4.27
0.4,4.287
0.3,4.3
0.2,4.31
0.1,4.32
0,4.33
-0.1,4.34
-0.2,4.35
-0.3,4.37
-0.4,4.4
-0.5,4.45
-0.6,4.5
