x,y
-0.7,0.9
-0.6,0.887
-0.5,0.873
-0.4,0.859
-0.3,0.846
-0.2,0.832
-0.1,0.819
0,0.805
0.1,0.791
0.2,0.777
0.3,0.764
0.4,0.75
0.5,0.736
0.6,0.722
0.7,0.709
0.8,0.696
0.9,0.682
1,0.668
1.1,0.655
1.2,0.641
1.3,0.628
1.4,0.614
1.5,0.6
