x,y
-0.6,4.5
-0.7,4.47
-0.8,4.45
-0.9,4.42
-1,4.38
-1.1,4.34
-1.2,4.28
-1.3,4.2
-1.38,4.1
-1.44,4
-1.49,3.9
-1.53,3.8
-1.57,3.7
-1.6,3.6
